wave,group_name,question,frequency,estimate,group_category,mid_date
Week41,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Not at all,70808031,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Several days,40115220,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,More than half the days,12918353,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Nearly every day,16411279,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic",Frequency of not being able to stop or control worrying,Did not report,15422499,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Not at all,10678241,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Several days,7010677,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",More than half the days,3017874,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Nearly every day,3156981,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Did not report,4688358,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Not at all,11692108,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Several days,6274551,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,More than half the days,2768459,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Nearly every day,3103524,hispanic_origin_and_race,1/4/2022
Week41,"Black alone, not Hispanic",Frequency of not being able to stop or control worrying,Did not report,4713488,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Not at all,5530747,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Several days,4204177,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",More than half the days,1049093,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Nearly every day,1047648,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Did not report,2086444,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic",Frequency of not being able to stop or control worrying,Not at all,6002934,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic",Frequency of not being able to stop or control worrying,Several days,3895645,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic",Frequency of not being able to stop or control worrying,More than half the days,933257,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic",Frequency of not being able to stop or control worrying,Nearly every day,1008973,hispanic_origin_and_race,1/4/2022
Week41,"Asian alone, not Hispanic",Frequency of not being able to stop or control worrying,Did not report,2077299,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Not at all,2821309,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Several days,2441373,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic","Frequency of feeling nervous, anxious, or on edge",More than half the days,860765,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Nearly every day,1702735,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Did not report,929025,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic",Frequency of not being able to stop or control worrying,Not at all,3383326,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic",Frequency of not being able to stop or control worrying,Several days,2272820,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic",Frequency of not being able to stop or control worrying,More than half the days,727790,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic",Frequency of not being able to stop or control worrying,Nearly every day,1417055,hispanic_origin_and_race,1/4/2022
Week41,"Two or more races + Other races, not Hispanic",Frequency of not being able to stop or control worrying,Did not report,954216,hispanic_origin_and_race,1/4/2022
Week41,Less than high school,"Frequency of feeling nervous, anxious, or on edge",Not at all,7297668,education,1/4/2022
Week41,Less than high school,"Frequency of feeling nervous, anxious, or on edge",Several days,4972810,education,1/4/2022
Week41,Less than high school,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1611981,education,1/4/2022
Week41,Less than high school,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2497168,education,1/4/2022
Week41,Less than high school,"Frequency of feeling nervous, anxious, or on edge",Did not report,4332876,education,1/4/2022
Week41,Less than high school,Frequency of not being able to stop or control worrying,Not at all,7940285,education,1/4/2022
Week41,Less than high school,Frequency of not being able to stop or control worrying,Several days,4581779,education,1/4/2022
Week41,Less than high school,Frequency of not being able to stop or control worrying,More than half the days,1685457,education,1/4/2022
Week41,Less than high school,Frequency of not being able to stop or control worrying,Nearly every day,2174617,education,1/4/2022
Week41,Less than high school,Frequency of not being able to stop or control worrying,Did not report,4330364,education,1/4/2022
Week41,High school or GED,"Frequency of feeling nervous, anxious, or on edge",Not at all,29840185,education,1/4/2022
Week41,High school or GED,"Frequency of feeling nervous, anxious, or on edge",Several days,18652991,education,1/4/2022
Week41,High school or GED,"Frequency of feeling nervous, anxious, or on edge",More than half the days,6604824,education,1/4/2022
Week41,High school or GED,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,9947269,education,1/4/2022
Week41,High school or GED,"Frequency of feeling nervous, anxious, or on edge",Did not report,11740227,education,1/4/2022
Week41,High school or GED,Frequency of not being able to stop or control worrying,Not at all,32033346,education,1/4/2022
Week41,High school or GED,Frequency of not being able to stop or control worrying,Several days,17946089,education,1/4/2022
Week41,High school or GED,Frequency of not being able to stop or control worrying,More than half the days,6150972,education,1/4/2022
Week41,High school or GED,Frequency of not being able to stop or control worrying,Nearly every day,8712215,education,1/4/2022
Week41,High school or GED,Frequency of not being able to stop or control worrying,Did not report,11942873,education,1/4/2022
Week41,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Not at all,25348808,education,1/4/2022
Week41,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Several days,21322281,education,1/4/2022
Week41,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",More than half the days,8297319,education,1/4/2022
Week41,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,11848250,education,1/4/2022
Week41,Some college/associate’s degree,"Frequency of feeling nervous, anxious, or on edge",Did not report,8706411,education,1/4/2022
Week41,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Not at all,30378218,education,1/4/2022
Week41,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Several days,19814482,education,1/4/2022
Week41,Some college/associate’s degree,Frequency of not being able to stop or control worrying,More than half the days,6995745,education,1/4/2022
Week41,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Nearly every day,9576037,education,1/4/2022
Week41,Some college/associate’s degree,Frequency of not being able to stop or control worrying,Did not report,8758585,education,1/4/2022
Week41,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Not at all,28625569,education,1/4/2022
Week41,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Several days,25318011,education,1/4/2022
Week41,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7610040,education,1/4/2022
Week41,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,9475599,education,1/4/2022
Week41,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Did not report,6215165,education,1/4/2022
Week41,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Not at all,36852916,education,1/4/2022
Week41,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Several days,21428902,education,1/4/2022
Week41,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,More than half the days,6186669,education,1/4/2022
Week41,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Nearly every day,6486450,education,1/4/2022
Week41,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Did not report,6289448,education,1/4/2022
Week41,Married,"Frequency of feeling nervous, anxious, or on edge",Not at all,55426362,marital_status,1/4/2022
Week41,Married,"Frequency of feeling nervous, anxious, or on edge",Several days,38626356,marital_status,1/4/2022
Week41,Married,"Frequency of feeling nervous, anxious, or on edge",More than half the days,11115433,marital_status,1/4/2022
Week41,Married,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,14553367,marital_status,1/4/2022
Week41,Married,"Frequency of feeling nervous, anxious, or on edge",Did not report,13782551,marital_status,1/4/2022
Week41,Married,Frequency of not being able to stop or control worrying,Not at all,65027262,marital_status,1/4/2022
Week41,Married,Frequency of not being able to stop or control worrying,Several days,34139072,marital_status,1/4/2022
Week41,Married,Frequency of not being able to stop or control worrying,More than half the days,9281152,marital_status,1/4/2022
Week41,Married,Frequency of not being able to stop or control worrying,Nearly every day,11093047,marital_status,1/4/2022
Week41,Married,Frequency of not being able to stop or control worrying,Did not report,13963535,marital_status,1/4/2022
Week41,Widowed,"Frequency of feeling nervous, anxious, or on edge",Not at all,5136731,marital_status,1/4/2022
Week41,Widowed,"Frequency of feeling nervous, anxious, or on edge",Several days,2739180,marital_status,1/4/2022
Week41,Widowed,"Frequency of feeling nervous, anxious, or on edge",More than half the days,899465,marital_status,1/4/2022
Week41,Widowed,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,907607,marital_status,1/4/2022
Week41,Widowed,"Frequency of feeling nervous, anxious, or on edge",Did not report,1224616,marital_status,1/4/2022
Week41,Widowed,Frequency of not being able to stop or control worrying,Not at all,5525385,marital_status,1/4/2022
Week41,Widowed,Frequency of not being able to stop or control worrying,Several days,2697262,marital_status,1/4/2022
Week41,Widowed,Frequency of not being able to stop or control worrying,More than half the days,680210,marital_status,1/4/2022
Week41,Widowed,Frequency of not being able to stop or control worrying,Nearly every day,787776,marital_status,1/4/2022
Week41,Widowed,Frequency of not being able to stop or control worrying,Did not report,1216965,marital_status,1/4/2022
Week41,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Not at all,12889280,marital_status,1/4/2022
